SeriesCode,SeriesName,ProductGroupCode,ProductName,URL
29328,LS(2023),703357,23 LS ドライバー SPEEDER NX FOR PRGR,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000070/0000703357/0000703357_01.jpg
28067,RMX VD59,653466,RMX VD59 ドライバー Diamana YR,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000065/0000653466/0000653466_01.jpg
29148,AEROJET LS,693402,エアロジェット LS ドライバー オリジナル Tour AD for Cobra BLUE,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000069/0000693402/0000693402_01.jpg
30174,B3 MAXD(2024),740429,B3 MAXD ドライバー VANQUISH BS40 for MAX,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000074/0000740429/0000740429_01.jpg
28932,BERES NX,685423,ベレス NX ドライバー VIZARD for NX 45,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000068/0000685423/0000685423_01.jpg
28106,XXIO(2022)ﾌﾞﾙｰ,654730,ゼクシオ 12 ドライバー(ブルー) MP1200Lカーボン,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000065/0000654730/0000654730_01.jpg
27585,TSi2,628654,TSi2 ドライバー TOUR AD DI-5／6,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000062/0000628654/0000628654_01.jpg
27586,TSi3,628657,TSi3 ドライバー TOUR AD DI-5／6,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000062/0000628657/0000628657_01.jpg
30596,inpres DRIVE STAR TypeS(2025),754231,25 インプレス DRIVE STAR TypeS ドライバー SPEEDER NX for Yamaha M425d,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000075/0000754231/0000754231_01.jpg
27171,UFO BY POWER TORNADO,641629,UFO by POWER TORNADO ドライバー Falcon Shaft for DD,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000064/0000641629/0000641629_01.jpg
28870,TSR4,682378,TSR4 ドライバー TSP311 65,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000068/0000682378/0000682378_01.jpg
27525,G425 LST,623008,G425 LST ドライバー PING TOUR 173-55／65／75 ARCCOS GP装着モデル,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000062/0000623008/0000623008_01.jpg
27793,EPIC MAX FAST,643809,エピック MAX ファスト ドライバー ELDIO 40 for Callaway,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000064/0000643809/0000643809_01.jpg
30276,RSX F(2024),748141,RSX F ドライバー Tour AD FOR PRGR,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000074/0000748141/0000748141_01.jpg
27549,SRIXON ZX5,625108,スリクソン ZX5 ドライバー Diamana ZX 50,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000062/0000625108/0000625108_01.jpg
27478,RS5,617148,RS5 ドライバー Diamana FOR PRGR,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000061/0000617148/0000617148_01.jpg
28312,EZONE GT 450(2022),662855,EZONE GT 450 ドライバー RK-03GT,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000066/0000662855/0000662855_01.jpg
30864,Qi35 LS,769270,Qi35 LS ドライバー Diamana BLACK TM60,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000076/0000769270/0000769270_01.jpg
27203,XXIO(2020)ﾎﾞﾙﾄﾞｰ,599174,ゼクシオ ドライバー(ボルドー／グリップ：WEIGHT PLUSフルラバー) MP1100Lカーボン,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000059/0000599174/0000599174_01.jpg
28068,RMX VD,706337,RMX VD ドライバー SPEEDER NX50,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000070/0000706337/0000706337_01.jpg
29076,TSR2(2023),695254,TSR2 ドライバー TENSEI AV BLUE 55,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000069/0000695254/0000695254_01.jpg
27527,G425 SFT,672978,G425 SFT ドライバー ALTA J CB SLATE,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000067/0000672978/0000672978_01.jpg
27479,RS5+,617155,RS5 +(プラス) ドライバー Speeder Evolution for PRGR,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000061/0000617155/0000617155_01.jpg
